60 1595
5 2 14
5 3 -7
5 4 15
6 1 4
6 3 6
6 4 -9
7 1 -1
7 2 15
7 4 1
7 6 -6
8 1 -4
8 2 -7
8 3 -6
8 5 15
9 2 10
9 3 -1
9 4 14
9 5 1
9 6 -2
9 7 -6
9 8 -4
10 1 1
10 3 1
10 4 13
10 5 6
10 6 18
10 7 -2
10 8 -9
11 1 2
11 2 6
11 4 2
11 5 14
11 6 3
11 7 8
11 8 20
11 10 -8
12 1 11
12 2 2
12 3 1
12 5 13
12 6 8
12 7 11
12 8 4
12 9 -10
13 1 16
13 2 15
13 3 11
13 4 -9
13 6 11
13 7 -3
13 8 7
13 10 -7
13 11 -3
13 12 -5
14 1 14
14 2 4
14 3 -8
14 4 -2
14 5 -2
14 7 17
14 8 16
14 9 20
14 11 2
14 12 2
15 1 -8
15 2 18
15 3 19
15 4 9
15 5 16
15 6 -2
15 8 -9
15 9 18
15 10 9
15 12 -3
15 14 18
16 1 18
16 2 4
16 3 10
16 4 20
16 5 -9
16 6 5
16 7 14
16 9 15
16 10 -2
16 11 15
16 13 16
17 2 19
17 3 -4
17 4 -1
17 5 13
17 6 -1
17 7 16
17 8 -4
17 9 8
17 10 12
17 11 15
17 12 8
17 13 19
17 14 10
17 15 6
17 16 -3
18 1 16
18 3 4
18 4 16
18 5 8
18 6 -4
18 7 5
18 8 5
18 9 20
18 10 -2
18 11 15
18 12 14
18 13 -1
18 14 17
18 15 -8
18 16 -9
19 1 12
19 2 2
19 4 -7
19 5 2
19 6 2
19 7 15
19 8 17
19 9 4
19 10 20
19 11 4
19 12 3
19 13 -2
19 14 1
19 15 -1
19 16 5
19 18 13
20 1 -4
20 2 -6
20 3 -9
20 5 20
20 6 -1
20 7 -5
20 8 19
20 9 4
20 10 12
20 11 19
20 12 17
20 13 13
20 14 -5
20 15 -7
20 16 -5
20 17 10
21 1 4
21 2 10
21 3 12
21 4 -1
21 6 7
21 7 -8
21 8 -4
21 9 11
21 10 17
21 11 9
21 12 15
21 13 8
21 14 -3
21 15 15
21 16 18
21 18 14
21 19 -5
21 20 2
22 1 -9
22 2 7
22 3 2
22 4 3
22 5 -6
22 7 -2
22 8 1
22 9 -5
22 10 2
22 11 1
22 12 4
22 13 -3
22 14 -10
22 15 6
22 16 10
22 17 -8
22 19 8
22 20 2
23 1 -1
23 2 14
23 3 -10
23 4 15
23 5 19
23 6 7
23 8 6
23 9 14
23 10 18
23 11 2
23 12 12
23 13 8
23 14 2
23 15 10
23 16 -5
23 17 15
23 18 5
23 20 -7
23 22 1
24 1 11
24 2 6
24 3 13
24 4 4
24 5 9
24 6 20
24 7 19
24 9 -8
24 10 4
24 11 10
24 12 8
24 13 13
24 14 9
24 15 -9
24 16 18
24 17 -10
24 18 18
24 19 20
24 21 10
25 1 -2
25 2 -10
25 3 5
25 4 -10
25 5 -3
25 6 -2
25 7 -7
25 8 -3
25 10 -6
25 11 -6
25 12 -6
25 13 -3
25 14 -2
25 15 12
25 16 -3
25 18 -10
25 19 5
25 20 13
25 21 -6
25 22 5
25 23 12
25 24 12
26 1 15
26 2 15
26 3 4
26 4 5
26 5 14
26 6 19
26 7 3
26 8 19
26 9 -4
26 11 5
26 12 9
26 13 16
26 14 -8
26 15 -2
26 16 17
26 17 6
26 19 -10
26 20 20
26 21 2
26 22 7
26 23 19
26 24 1
27 1 -8
27 2 3
27 3 2
27 4 18
27 5 16
27 6 -9
27 7 11
27 8 14
27 9 12
27 10 6
27 12 5
27 13 19
27 14 13
27 15 18
27 16 17
27 17 14
27 18 12
27 20 13
27 21 1
27 22 13
27 23 15
27 24 -10
27 26 -1
