257 33110
1 158 -3
1 86 5
1 51 -4
1 194 2
1 123 5
1 73 -1
1 91 -2
1 82 17
2 148 -10
2 51 5
2 131 11
2 13 9
2 51 -9
2 183 7
2 91 6
2 27 13
2 172 17
2 189 -8
2 163 7
2 172 -1
2 69 16
3 126 10
3 66 -9
3 221 -6
3 104 -8
3 200 9
4 242 2
4 193 17
4 235 8
4 70 3
4 112 7
4 58 -5
4 193 2
4 2 -6
4 136 17
4 81 9
5 81 -7
5 48 20
5 108 -8
5 127 8
5 31 17
5 224 -7
5 39 12
5 196 5
5 140 -1
5 51 3
5 185 3
5 117 4
6 176 6
6 193 20
6 158 16
6 40 2
6 42 7
6 165 -1
6 21 12
6 92 7
6 18 -3
6 164 15
6 24 5
7 80 -3
7 2 -1
7 38 19
7 149 8
7 189 15
7 234 4
7 189 -9
7 138 -5
7 151 2
7 250 -3
7 240 18
7 27 -3
7 99 20
7 158 14
7 110 -2
7 166 1
7 198 -7
8 67 11
8 109 -8
8 203 5
8 75 4
8 77 15
8 2 4
8 77 -7
8 51 -1
8 178 16
8 131 -10
8 105 19
8 231 14
9 78 -10
9 141 -1
9 51 -8
9 200 -1
9 40 18
9 31 17
9 40 13
9 199 17
10 5 3
10 239 11
10 251 -5
10 209 -3
10 85 19
10 236 -4
10 224 14
10 239 -8
10 100 -7
10 186 1
10 152 8
10 66 12
10 83 20
10 63 8
10 157 1
10 222 19
11 155 19
11 112 6
11 37 -6
11 160 -9
11 191 12
11 8 14
11 44 1
11 242 13
12 125 -2
12 117 7
12 50 2
12 129 8
12 123 -5
12 34 2
12 203 10
12 196 7
12 245 15
12 212 -3
13 48 19
13 55 11
13 179 6
13 187 16
13 239 6
13 242 9
13 241 -9
13 253 5
13 3 -7
13 256 5
14 45 18
14 68 7
14 85 14
14 200 12
14 247 5
14 225 -3
14 179 1
14 204 -5
14 193 7
14 34 14
14 93 13
14 213 2
14 67 6
14 112 3
15 79 20
15 69 20
15 225 6
15 11 9
15 26 -6
15 6 2
15 153 19
15 253 8
15 77 -2
15 132 -4
15 57 19
15 180 -7
15 169 13
15 132 -6
16 88 4
16 152 15
16 154 19
16 188 11
16 42 17
16 240 6
16 33 -7
16 32 -3
17 42 -1
17 129 4
17 234 -9
17 85 -3
17 59 5
17 101 6
17 227 -7
17 131 3
17 125 -3
18 226 -1
18 118 -4
18 97 -6
18 117 12
18 78 5
19 138 -6
19 53 9
19 241 20
19 87 9
19 232 1
19 88 6
19 89 3
19 107 10
19 174 11
19 13 19
19 43 -4
19 127 -1
19 161 10
19 98 10
19 193 -4
20 179 17
20 191 11
20 171 17
20 43 19
20 30 4
20 237 2
20 111 11
20 51 -1
20 154 -8
20 241 9
20 97 14
20 151 5
20 247 5
20 143 11
20 175 7
20 131 4
20 118 5
21 116 1
21 75 7
21 65 5
21 107 -4
21 14 7
21 120 17
21 134 20
21 200 3
21 150 6
21 103 2
21 90 17
21 3 1
22 182 -10
22 52 17
22 125 16
22 92 8
22 121 -2
22 14 -4
22 5 1
22 162 8
22 231 4
23 2 14
23 47 -9
23 159 17
23 49 19
23 26 11
23 126 3
23 74 13
23 124 6
