388 6421
1 310 -8
1 82 2
1 9 -2
1 34 1
1 24 -10
1 242 13
1 276 -6
1 133 11
1 366 5
1 373 1
1 103 -10
1 158 5
2 254 15
2 58 6
2 152 9
2 372 -3
2 209 13
2 215 -5
2 319 17
2 278 -9
2 11 15
2 157 -2
2 49 -3
2 369 13
3 97 1
3 230 2
3 90 12
3 155 9
3 241 3
3 81 1
3 379 -6
3 250 -7
3 69 1
4 272 2
4 49 6
4 66 12
4 43 -4
4 312 19
4 366 6
4 374 2
4 351 5
4 145 20
4 9 19
4 40 3
4 5 -4
5 185 1
5 321 15
5 289 5
5 327 12
5 273 2
5 274 18
5 96 14
5 124 14
5 361 2
5 327 3
5 214 13
5 34 16
5 339 13
5 149 14
6 59 -4
6 9 -9
6 70 15
6 43 19
6 316 7
6 133 9
6 98 13
6 370 7
6 305 16
6 34 14
6 210 4
6 368 2
6 275 18
6 100 12
7 169 17
7 203 -7
7 277 15
7 91 5
7 292 19
7 284 -3
7 244 -6
7 30 20
7 253 4
7 127 -5
7 99 -2
7 44 18
7 129 2
7 108 18
8 184 7
8 376 1
8 68 3
8 122 -9
8 160 8
8 263 5
8 155 15
8 290 19
8 238 1
8 242 -5
8 220 4
8 128 5
8 276 -6
8 275 -9
8 128 -7
8 159 3
8 104 -6
8 99 -3
8 197 -7
8 349 5
8 254 8
8 305 20
8 253 -6
8 376 5
8 214 -5
8 147 15
9 22 15
9 350 -7
9 239 10
9 47 7
9 2 15
9 85 -5
9 100 -3
9 109 16
9 51 15
9 187 8
9 253 4
9 80 10
9 297 1
9 68 9
9 193 6
10 381 12
10 66 -2
10 20 -8
10 49 12
10 333 -4
10 176 2
10 3 4
10 44 7
10 173 -7
10 158 6
10 343 11
10 276 20
10 158 6
10 52 -6
10 286 11
10 54 -6
10 279 15
10 300 2
11 269 19
11 8 14
11 64 1
11 332 15
11 355 -6
11 206 8
11 18 8
11 290 4
11 379 15
11 123 13
11 324 -1
11 366 16
11 223 9
11 10 17
12 215 2
12 238 17
12 239 -10
12 307 -4
12 72 -3
12 59 16
12 290 1
12 2 6
12 274 11
12 374 9
12 292 -8
12 73 7
12 273 -7
12 290 17
12 305 12
13 348 18
13 45 -10
13 159 2
13 166 16
13 94 -9
13 379 8
13 196 12
13 69 16
13 30 -6
13 95 6
13 192 19
13 51 2
13 267 9
13 316 19
13 18 14
14 248 3
14 344 17
14 139 -3
14 252 19
14 205 12
14 218 8
14 271 11
14 117 -5
14 263 9
14 151 6
14 21 16
14 362 9
14 312 19
14 329 9
15 363 7
15 331 7
15 352 6
15 246 15
15 9 20
15 133 6
15 330 -2
15 265 9
15 304 13
15 266 -1
15 378 3
15 128 20
15 241 14
15 219 -9
15 177 -1
15 113 -10
15 172 -6
15 137 4
16 293 -6
16 173 9
16 330 2
16 257 17
16 343 11
16 123 12
16 211 -9
16 65 20
16 256 8
16 62 1
16 90 10
16 193 -8
16 91 -5
16 205 -8
17 380 1
17 303 19
17 32 -1
17 105 1
17 266 7
17 382 19
17 127 17
17 69 -5
17 276 6
17 69 5
17 190 -6
17 381 13
18 160 14
18 354 16
18 360 5
18 126 9
18 88 10
18 57 1
18 257 16
18 22 13
18 342 17
18 373 -1
18 37 1
18 216 19
18 89 9
18 164 -2
18 359 -10
18 107 19
19 55 -7
19 154 -1
19 139 9
19 306 15
19 55 12
19 60 9
19 363 8
19 369 19
19 257 3
19 324 7
19 42 1
19 350 4
19 327 8
19 185 7
19 221 6
19 171 13
19 62 5
20 302 4
20 127 -5
20 249 4
20 203 -2
20 95 6
20 107 -7
20 234 -4
20 356 12
20 279 10
20 300 -9
20 82 -5
20 129 1
20 366 10
21 379 15
21 243 4
21 358 -1
21 241 4
21 311 -4
21 79 -1
21 184 -8
21 252 20
21 382 2
21 332 3
21 368 2
21 78 1
21 167 -4
21 22 8
21 259 13
22 83 -6
22 184 -7
22 258 -7
22 16 20
22 180 1
22 26 -5
22 206 -6
22 385 4
22 180 -10
22 230 2
22 231 2
22 225 5
22 236 20
22 204 17
22 56 10
22 112 -7
22 385 -2
22 208 6
22 77 6
22 211 19
22 187 -2
22 371 -4
23 350 5
23 363 12
23 209 -7
23 220 2
23 337 -3
23 157 18
23 39 5
23 347 5
23 181 9
23 11 17
23 119 14
24 151 -3
24 330 11
24 352 2
24 56 -1
24 234 -7
24 312 18
24 219 10
24 376 6
24 367 16
24 198 -9
24 249 20
24 145 15
24 295 -8
24 261 -9
24 148 -3
24 173 13
24 19 -6
25 40 12
25 339 16
25 31 20
25 212 -9
25 118 6
25 230 -5
25 69 -8
25 158 -3
25 100 16
25 206 -10
25 16 -8
25 131 11
25 134 6
25 357 1
25 303 8
26 374 3
26 300 20
26 109 -9
26 84 5
26 210 4
26 212 -7
26 212 6
26 273 4
26 315 17
26 96 5
26 85 -9
26 322 3
26 219 -7
26 316 -8
26 9 13
27 77 7
27 341 -8
27 307 2
27 91 -2
27 255 14
27 274 17
27 167 -6
27 238 2
27 269 5
27 63 -10
27 226 20
27 127 -4
27 167 -3
27 56 4
27 141 20
27 315 8
27 352 19
28 117 3
28 154 15
28 127 13
28 141 -3
28 291 9
28 53 14
28 339 -2
28 297 -9
28 354 16
28 178 5
28 320 15
28 315 4
28 374 13
28 161 3
28 29 19
28 119 -8
29 299 10
29 263 15
29 59 12
29 129 -6
29 24 19
29 284 9
29 324 -8
29 347 10
29 336 20
29 337 -5
29 259 12
29 187 16
29 53 19
29 383 18
29 7 15
29 61 -8
30 248 -7
30 27 17
30 358 -1
30 16 10
30 89 14
30 342 19
30 308 -8
30 288 14
30 81 10
30 356 10
30 93 -10
30 325 -4
30 263 2
30 238 -4
30 10 20
30 361 18
30 85 5
30 68 16
30 127 8
30 117 -8
30 354 9
30 182 9
31 276 -1
31 18 1
31 299 -2
31 350 9
31 240 -5
31 357 3
31 301 -2
31 86 -9
31 96 11
31 98 20
31 378 -2
31 262 4
31 271 16
31 228 7
31 301 4
31 51 -7
31 345 2
31 256 -10
32 285 -3
32 376 16
32 171 5
32 246 -7
32 68 -3
32 347 1
32 85 -7
32 316 -1
32 272 -8
32 20 -1
32 192 10
32 61 8
32 374 -7
