424 5421
1 184 -5
1 131 -3
1 15 15
1 42 -10
1 90 10
1 95 7
1 213 -6
1 365 16
1 339 -1
1 131 9
2 105 -7
2 34 -10
2 255 19
2 67 1
2 312 6
2 346 4
2 321 13
2 266 -5
3 143 11
3 97 14
3 251 -3
3 191 -8
3 167 13
3 193 10
3 96 -10
3 208 7
3 338 19
3 264 -10
4 335 9
4 166 9
4 54 -2
4 381 16
4 43 8
4 270 11
4 77 -4
4 96 19
4 39 14
4 89 -10
4 140 2
4 257 9
4 106 8
4 312 -9
4 313 2
5 276 3
5 390 -5
5 226 -3
5 174 1
5 282 -10
5 53 3
6 421 3
6 102 -5
6 170 2
6 253 -9
6 69 19
6 146 18
6 422 4
6 27 -3
6 14 11
6 127 15
6 365 14
6 362 -7
6 58 6
6 115 17
6 96 5
6 199 5
7 376 20
7 98 4
7 328 15
7 79 -4
7 40 -3
7 274 -6
7 10 17
7 2 -4
7 62 15
7 281 -8
7 158 14
7 402 15
7 383 -9
8 89 -10
8 172 -5
8 159 -9
8 347 19
8 62 18
8 386 13
8 258 20
8 342 -2
8 239 -10
9 371 14
9 218 14
9 84 11
9 31 18
9 79 19
9 317 6
9 179 7
9 365 16
9 284 18
9 359 -2
9 24 -2
9 70 8
9 7 7
9 334 6
9 236 20
9 150 -5
10 388 -7
10 115 -5
10 246 3
10 346 20
10 398 6
10 198 -1
10 40 13
10 158 5
10 325 4
10 408 2
10 65 6
10 186 1
10 39 7
11 258 -3
11 35 10
11 294 14
11 150 -7
11 296 16
12 195 -1
12 54 4
12 225 18
12 267 -4
12 291 17
12 21 2
12 222 5
12 175 15
12 333 -1
12 136 11
12 183 -7
12 235 11
12 227 -6
12 358 -7
12 45 6
13 161 7
13 373 -2
13 53 20
13 369 4
13 290 3
13 110 -7
13 258 -6
13 417 1
13 224 17
14 33 1
14 34 15
14 70 -6
14 143 -9
14 49 13
14 104 7
14 189 -3
14 110 9
14 69 16
14 173 8
14 350 -3
14 110 -7
15 62 3
15 103 6
15 408 2
15 48 20
15 63 19
15 232 -8
15 11 14
15 301 17
15 134 -3
15 50 -3
15 159 -8
15 31 5
15 153 7
15 319 11
15 201 18
15 135 18
16 9 19
16 41 -8
16 197 9
16 312 -6
16 165 -8
16 62 11
17 374 -6
17 412 11
17 422 11
17 192 -6
17 291 14
17 89 -1
17 273 -8
17 20 3
17 286 -7
17 55 7
17 163 2
17 51 -9
17 216 16
17 271 -9
17 53 -1
17 39 1
17 328 -9
17 275 17
17 335 -10
18 79 16
18 167 18
18 50 -6
18 111 -5
18 400 5
18 229 15
18 4 19
18 301 8
18 156 4
19 250 18
19 16 14
19 20 -2
19 302 4
19 84 -6
19 221 7
19 107 -6
19 358 -6
19 124 -7
20 41 9
20 395 8
20 130 -9
20 190 9
20 135 12
20 153 12
20 331 16
20 130 -5
20 138 -5
20 342 20
21 245 20
21 200 -6
21 245 20
21 124 -9
21 305 9
21 217 -3
21 210 14
21 320 -10
21 239 1
21 35 9
21 36 -5
21 92 17
21 230 3
22 417 -7
22 27 11
22 16 20
22 79 -7
22 31 14
22 276 -8
22 37 15
22 20 14
22 179 16
22 146 10
22 384 19
22 8 -7
22 308 -2
22 37 4
22 193 12
22 88 5
23 221 7
23 131 -2
23 96 15
23 134 -5
23 157 1
23 357 -1
24 282 17
24 67 -4
24 336 17
24 198 18
24 178 11
24 144 8
24 106 -10
24 13 -8
24 49 20
24 31 15
24 164 -7
25 218 11
25 187 4
25 413 8
25 267 5
25 227 2
25 71 12
25 366 -3
25 202 20
25 52 3
25 38 2
25 71 20
25 175 14
25 244 14
25 343 -4
25 277 -6
25 110 5
26 58 11
26 400 7
26 75 -4
26 163 4
26 3 8
26 363 -6
26 11 -1
26 283 20
26 11 12
