125 1416
1 125 -2
1 72 6
1 6 15
1 69 -3
1 70 7
1 52 16
1 27 9
1 33 17
1 41 3
1 5 20
1 99 -8
2 105 8
2 52 18
2 118 -5
2 87 -6
2 113 8
2 10 16
2 109 -9
2 6 15
3 22 13
3 49 -4
3 108 -9
3 84 1
3 21 20
3 25 9
3 103 11
3 105 7
3 6 5
3 78 15
4 70 15
4 57 2
4 114 -1
4 65 16
4 24 15
4 124 -4
4 71 6
4 52 16
4 61 -1
5 33 7
5 25 2
5 104 -4
5 28 14
5 45 20
5 73 -6
5 39 7
5 80 -5
5 112 10
5 86 12
5 112 12
6 97 -2
6 80 -10
6 13 6
6 38 15
6 120 2
6 40 12
6 76 -3
6 39 4
6 118 12
6 120 -8
6 97 19
7 35 -7
7 40 10
7 20 17
7 53 1
7 23 12
7 84 -8
7 47 5
7 90 -3
7 121 -6
7 14 8
7 57 5
7 121 10
7 30 -6
8 99 -4
8 2 16
8 35 4
8 7 9
8 94 1
8 79 -9
8 124 15
8 108 4
8 65 5
8 47 3
8 36 -5
9 50 -6
9 28 10
9 38 12
9 29 -4
9 60 8
9 26 -5
9 4 4
9 57 1
9 54 -9
10 94 -6
10 69 8
10 67 18
10 90 18
10 42 2
10 124 -3
10 79 2
10 77 -1
10 117 11
11 28 -5
11 85 -3
11 112 -4
11 48 -6
11 119 -7
11 99 -7
12 119 -10
12 37 -9
12 28 2
12 84 10
12 30 -3
12 122 10
12 74 17
12 122 -1
13 71 10
13 47 -7
13 47 -7
13 55 14
13 9 -2
13 34 5
13 8 16
13 85 18
13 38 2
14 87 20
14 27 -6
14 87 19
14 54 10
14 70 -10
14 1 14
14 1 13
14 71 18
15 66 4
15 113 16
15 86 -9
15 69 18
15 19 14
15 12 9
15 34 15
15 87 -3
15 37 8
15 43 -5
15 2 6
15 91 -5
16 91 11
16 91 1
16 86 1
16 100 20
16 117 -9
16 42 -8
16 125 16
16 65 10
16 59 1
16 4 3
16 8 10
16 72 11
16 30 10
16 42 -6
17 13 9
17 125 -2
17 46 1
17 41 4
17 110 9
17 61 4
17 112 14
17 36 4
17 60 -7
17 33 6
17 10 -7
17 39 -2
17 41 10
17 84 17
18 49 4
18 49 -6
18 75 1
18 51 5
18 79 12
18 54 11
18 78 9
18 121 9
18 78 7
18 69 15
18 2 6
18 53 -1
18 83 -7
18 9 4
19 61 -3
19 1 -9
19 46 15
19 114 13
19 72 1
19 60 7
19 27 19
19 124 3
19 98 15
19 29 -4
19 65 18
19 57 13
20 82 4
20 53 6
20 13 -10
20 94 9
20 108 19
20 8 5
20 6 9
20 64 11
20 67 10
20 91 15
20 47 8
20 101 3
20 87 20
20 34 -9
21 48 -1
21 121 8
21 67 11
21 57 -5
21 73 6
21 61 14
21 55 -1
21 85 -5
21 57 14
21 104 14
22 85 20
22 39 13
22 102 -9
22 13 -8
22 65 -1
22 34 10
22 44 13
22 80 2
22 120 20
22 39 17
23 54 2
23 59 13
23 12 11
23 111 -5
23 25 12
23 26 14
23 104 1
24 9 1
24 13 18
24 90 7
24 49 12
24 48 19
24 101 8
24 63 -9
24 1 4
25 77 6
25 31 -10
25 105 11
25 63 16
25 91 6
25 83 4
25 75 16
25 114 10
25 60 5
25 68 -5
25 114 3
25 22 11
25 73 -4
25 109 16
25 2 5
25 4 12
26 58 -6
26 21 10
26 75 -2
26 48 6
26 58 18
26 13 9
26 81 18
26 77 -5
26 88 12
27 91 -9
27 115 15
27 4 14
27 2 10
27 85 5
27 14 8
27 102 -10
27 21 2
27 105 15
27 74 2
27 121 18
27 22 6
27 69 17
27 69 -2
27 29 3
27 85 9
28 44 -5
28 73 18
28 100 8
28 106 -3
28 11 -6
28 57 9
28 14 -7
28 91 4
29 6 16
29 79 14
29 89 -3
29 55 13
29 25 13
29 82 17
29 114 18
29 25 -2
29 38 2
29 61 11
30 81 9
30 20 -8
30 16 19
30 78 -1
30 17 3
30 28 -4
30 72 8
30 116 14
30 31 11
30 106 7
30 74 -8
30 117 -1
31 102 4
31 102 5
31 82 8
31 68 -2
31 21 5
31 55 1
31 26 6
31 83 13
31 84 10
31 85 9
31 95 6
31 30 -10
31 114 3
31 89 8
31 65 15
31 123 -4
32 69 12
32 43 13
32 92 15
32 15 -5
32 71 6
32 91 3
32 114 12
32 89 17
33 20 6
33 110 1
33 23 -7
33 105 -10
33 58 8
33 110 3
33 26 -6
33 71 14
33 73 -4
33 82 9
33 66 16
