778 6586
1 141 6
1 694 -4
1 409 -7
1 373 16
2 253 -8
2 149 -5
2 720 14
2 323 13
2 258 18
2 249 9
2 493 -6
3 428 7
3 26 15
3 178 5
3 448 -1
3 588 14
4 554 19
4 687 3
4 534 20
4 329 18
4 319 9
4 612 4
5 299 18
5 266 -3
5 493 9
5 195 -1
5 51 16
5 564 17
5 357 20
5 763 -4
5 87 1
5 762 16
5 753 19
6 568 3
6 613 5
6 79 -10
6 51 18
6 735 1
6 233 -3
6 500 7
6 438 -8
7 379 4
7 68 -9
7 671 11
7 109 3
7 543 20
7 165 18
8 481 14
8 673 -9
8 242 18
8 254 12
8 397 9
9 650 19
9 284 -1
9 566 20
9 712 -4
9 127 -4
9 91 -5
9 23 17
10 439 -3
10 50 -1
10 702 -9
10 759 15
10 374 5
10 604 -3
10 702 -8
10 1 -1
10 494 3
11 53 14
11 268 10
11 300 -2
11 489 -9
11 393 9
11 185 -2
11 686 -4
11 436 4
11 372 2
11 259 5
11 147 9
11 182 15
11 439 -10
12 347 12
12 260 12
12 181 -3
12 423 15
12 317 -2
12 513 7
12 372 8
12 265 17
12 69 -2
12 357 -3
12 27 9
12 141 18
12 268 -3
13 775 20
13 162 4
13 299 -8
13 238 -9
13 506 13
13 665 3
13 430 5
13 169 17
13 166 15
13 305 2
13 766 -5
13 330 -7
14 367 7
14 43 18
14 322 -9
14 222 4
14 735 16
14 510 3
14 250 14
14 292 11
15 168 -1
15 118 10
15 167 19
15 226 -1
15 461 14
16 623 16
16 127 15
16 743 -7
16 330 4
16 182 10
16 345 15
16 84 -2
17 303 5
17 365 1
17 214 12
17 239 5
17 662 -7
17 199 2
17 484 -7
17 544 -7
17 762 -1
17 277 18
17 574 8
17 519 19
18 5 18
18 740 11
18 720 10
18 223 7
19 709 2
19 384 -8
19 148 -7
19 406 20
19 251 5
19 389 2
19 585 5
19 618 12
19 287 -8
19 202 17
19 95 -5
20 588 5
20 179 10
20 575 -5
20 307 -5
20 682 6
20 87 15
20 679 2
21 384 -9
21 490 18
21 206 -3
21 776 10
21 153 -8
21 676 12
21 540 12
21 578 11
21 401 -2
21 598 -1
22 680 -6
22 5 1
22 250 9
22 288 13
22 507 18
22 571 8
22 166 -5
22 383 7
22 193 -3
22 131 -2
22 240 -8
22 494 -3
22 482 12
22 610 9
23 396 13
23 661 18
23 1 2
23 662 8
23 548 16
23 107 3
24 487 14
24 406 7
24 85 18
24 541 15
24 633 -4
24 197 13
24 239 -2
25 12 4
25 617 9
25 478 19
25 715 17
25 28 -2
25 507 3
25 653 -7
25 289 19
26 231 -5
26 274 5
26 134 6
26 394 -3
26 538 4
26 246 11
26 646 -8
26 575 -2
26 196 20
27 421 19
27 726 2
27 725 2
27 4 7
27 384 5
27 93 1
28 62 18
28 438 13
28 458 2
28 215 -2
28 682 -7
29 72 8
29 164 15
29 194 -3
29 746 -2
29 341 -2
29 291 -10
29 589 15
29 100 1
30 151 5
30 299 6
30 696 20
30 323 -1
30 116 9
30 595 6
31 672 14
31 328 8
31 341 12
31 316 6
31 11 -9
32 472 -5
32 361 16
32 34 17
32 82 -6
32 199 -1
32 636 2
32 206 15
32 84 -2
32 333 1
33 621 -6
33 333 -4
33 216 8
33 385 9
33 611 6
33 679 -10
33 326 5
33 534 19
33 632 11
34 457 8
34 323 1
34 401 15
34 150 -6
34 270 12
34 82 -4
34 482 17
34 733 8
34 38 -6
34 589 3
34 391 -9
34 86 -4
34 128 2
35 500 18
35 321 7
35 153 1
36 580 11
36 164 6
36 184 -2
36 359 -2
36 682 11
36 242 20
36 86 10
36 27 10
37 326 8
37 704 18
37 171 -3
37 635 16
37 300 -7
37 274 4
37 75 -4
38 418 7
38 589 10
38 79 -5
38 480 15
38 632 -5
38 463 -1
38 692 16
38 4 4
38 778 10
39 335 15
39 352 5
39 627 11
39 554 18
39 224 -9
39 107 3
39 381 -3
39 291 -3
39 762 20
39 19 -4
40 458 2
40 166 17
40 303 -9
40 404 -1
40 411 6
40 416 8
40 123 11
40 771 12
40 183 20
40 672 19
40 256 8
40 368 13
41 320 -10
41 512 -3
41 187 6
41 531 16
41 153 -3
42 547 5
42 477 1
42 12 7
42 247 -3
42 516 11
42 742 14
42 507 8
42 129 10
43 61 18
43 214 -8
43 546 -7
43 654 20
43 233 9
43 89 -1
43 723 -9
43 402 1
43 307 18
43 692 7
43 548 -6
43 167 -2
43 389 -7
44 376 5
44 93 -1
44 369 9
44 633 -3
44 419 19
44 96 7
44 258 -7
45 146 -3
45 325 16
45 221 20
45 254 5
45 16 -9
46 604 14
46 58 17
46 289 -4
46 158 18
46 496 -1
46 14 -1
47 529 -8
47 192 -7
47 669 -6
47 205 16
47 470 9
47 338 18
47 411 -1
48 409 -9
48 88 -5
48 148 -9
48 616 14
48 562 11
48 140 1
48 82 -5
48 397 1
48 138 18
48 509 -5
49 17 -8
49 580 -3
49 167 4
49 304 -1
49 370 13
49 79 8
49 119 17
49 341 5
49 62 1
49 170 1
49 548 -6
50 340 5
50 700 16
50 591 13
50 584 13
50 368 4
50 730 -2
50 631 -10
50 767 -4
51 676 -6
51 288 -4
51 404 -6
51 705 12
51 124 7
51 406 5
51 226 4
52 164 9
52 650 -8
52 338 -6
52 727 14
52 607 2
52 766 6
52 409 11
52 211 -6
52 312 14
53 59 -2
53 324 -8
53 371 12
53 742 13
53 547 17
53 135 6
53 401 15
53 64 15
54 413 9
54 495 -5
54 1 7
54 346 13
54 511 -10
54 148 7
54 446 -4
54 287 8
55 542 18
55 171 -7
55 708 12
55 586 -9
55 679 6
55 183 16
55 33 -10
55 606 -2
55 442 2
55 598 7
55 408 6
55 299 -2
56 384 -4
56 576 9
56 321 19
56 728 4
56 240 14
56 524 20
56 97 1
56 254 5
56 739 3
56 262 6
56 717 1
56 36 -3
57 737 -3
57 482 4
57 621 5
57 460 -1
57 50 2
57 292 10
57 416 -8
57 692 2
57 364 9
57 479 18
57 560 2
58 483 6
58 449 1
58 687 2
58 347 4
58 632 10
58 432 10
58 91 17
58 737 12
59 744 20
59 642 4
59 515 9
59 94 11
59 5 5
59 402 5
59 448 18
59 122 18
59 365 8
59 489 3
60 438 -9
60 712 16
60 396 -4
60 292 16
60 51 4
60 509 -5
60 602 -9
60 580 -1
60 680 12
60 749 4
60 498 -4
60 316 5
60 523 -4
61 586 -8
61 42 7
61 494 10
62 450 -7
62 133 7
62 663 1
62 120 -4
62 295 -3
62 548 -10
62 46 10
62 665 12
62 279 -4
62 428 -5
62 733 15
62 317 16
62 20 17
62 661 17
63 667 1
63 365 -3
63 103 1
63 461 19
63 275 3
63 2 2
63 766 8
64 703 8
64 710 18
64 23 2
64 190 10
64 9 -4
64 571 3
64 768 -9
64 305 13
64 444 -10
64 258 -6
65 85 3
65 54 11
65 630 12
65 13 15
65 56 10
65 703 11
65 139 19
65 540 14
65 558 7
66 312 13
66 480 18
66 10 -3
66 559 17
66 368 -7
66 766 12
66 668 20
66 244 14
67 527 -7
67 234 -4
67 571 18
67 529 -7
67 2 14
67 683 -3
67 478 4
68 562 11
68 672 6
68 696 -9
68 197 -10
69 84 16
69 177 19
69 396 15
69 3 -2
69 470 -2
69 244 15
69 642 -6
69 153 16
69 760 7
69 415 4
69 343 -10
70 488 -9
70 532 -2
70 465 3
70 97 19
70 159 10
70 488 13
71 695 14
71 608 16
71 268 20
71 448 14
71 29 5
71 28 -2
71 613 -3
71 469 -3
71 764 2
72 85 20
72 51 5
72 66 10
72 629 8
72 553 -8
72 269 12
72 220 8
72 117 4
73 637 9
73 688 20
73 330 17
73 719 14
73 768 6
