70 1861
1 2 2
2 4 -2
2 5 -4
3 5 -3
4 1 20
5 6 4
6 3 -6
6 4 -2
6 5 12
7 2 -7
7 4 1
7 5 4
8 2 13
8 3 10
8 5 14
9 2 10
9 3 5
9 4 -7
10 1 -3
10 4 -2
10 5 11
10 8 -7
10 9 -3
11 1 5
11 3 18
11 5 -7
11 7 -3
11 9 -10
12 1 1
12 3 10
12 4 -9
12 7 -5
12 8 17
13 1 6
13 2 -6
13 5 1
13 6 18
13 9 16
13 12 2
14 1 -5
14 2 -9
14 4 -2
14 6 6
14 8 -10
14 11 -3
15 1 -2
15 2 14
15 3 -2
15 6 18
15 7 13
15 10 11
16 3 15
16 4 -6
16 5 18
16 7 13
16 8 18
16 9 19
16 10 13
16 11 -8
16 12 -10
16 13 5
16 14 5
16 15 -7
17 2 -3
17 4 9
17 5 1
17 6 14
17 8 16
17 9 4
17 10 16
17 11 5
17 12 -3
17 13 15
17 14 6
17 15 -8
18 2 -10
18 3 -8
18 5 -7
18 6 -6
18 7 6
18 9 10
18 10 5
18 11 7
18 12 13
18 13 -4
18 14 -4
18 15 -5
19 2 -4
19 3 16
19 4 -3
19 6 16
19 7 20
19 8 -6
19 10 11
19 11 13
19 12 6
19 13 -9
19 14 -8
19 15 18
20 1 7
20 4 5
20 5 20
20 6 15
20 7 5
20 8 8
20 9 11
20 11 7
20 12 -4
20 13 -5
20 14 14
20 15 15
20 18 13
20 19 15
21 1 9
21 3 3
21 5 13
21 6 7
21 7 15
21 8 -2
21 9 18
21 10 13
21 12 -7
21 13 -6
21 14 -7
21 15 -3
21 17 7
21 19 17
22 1 11
22 3 11
22 4 -2
22 6 -10
22 7 -4
22 8 15
22 9 4
22 10 19
22 11 12
22 13 10
22 14 7
22 15 1
22 17 -3
22 18 10
23 1 20
23 2 -4
23 5 4
23 6 13
23 7 1
23 8 1
23 9 9
23 10 20
23 11 11
23 12 -10
23 14 3
23 15 -10
23 16 5
23 19 8
23 22 -5
24 1 -8
24 2 19
24 4 -1
24 6 12
24 7 -4
24 8 20
24 9 -9
24 10 7
24 11 16
24 12 1
24 13 12
24 15 -7
24 16 19
24 18 -9
24 21 2
25 1 -5
25 2 -3
25 3 20
25 6 17
25 7 19
25 8 14
25 9 6
25 10 2
25 11 12
25 12 -7
25 13 6
25 14 -10
25 16 -8
25 17 3
25 20 16
26 1 13
26 2 -3
26 3 2
26 4 13
26 5 5
26 8 17
26 9 -1
26 11 -10
26 12 -1
26 13 -9
26 14 -2
26 15 -1
26 18 6
26 19 16
26 21 13
26 22 16
26 23 11
26 24 -3
26 25 12
27 1 20
27 2 2
27 3 -3
27 4 -9
27 5 -9
27 7 -6
27 9 11
27 10 5
27 12 1
27 13 12
27 14 -8
27 15 15
27 17 8
27 19 -9
27 20 14
27 22 11
27 23 6
27 24 19
27 25 -1
28 1 13
28 2 12
28 3 -2
28 4 -4
28 5 1
28 7 8
28 8 13
28 10 14
28 11 -1
