199 9763
7 5 14
8 1 13
8 3 7
8 6 -9
8 7 15
9 1 20
9 3 -4
10 1 -2
10 4 7
10 6 -1
10 7 5
10 8 10
11 1 4
11 2 7
11 5 8
11 6 16
11 7 -1
11 8 -6
12 7 13
12 9 -9
13 2 -4
13 3 8
13 5 1
13 7 3
13 8 -7
13 9 19
13 12 17
14 1 17
14 2 5
14 4 -5
14 6 4
14 8 -6
14 9 10
14 10 16
14 13 11
15 1 -9
15 4 10
15 6 1
15 9 -1
15 11 -9
15 14 18
16 3 15
16 4 1
16 5 -10
16 7 17
16 9 -7
16 12 14
16 13 13
16 15 5
17 2 -5
17 5 6
17 6 13
17 8 10
17 12 5
17 15 9
17 16 11
18 6 7
18 7 15
18 11 12
18 13 6
18 14 15
18 15 20
19 3 7
19 4 19
19 5 -2
19 7 -7
19 12 8
19 14 -2
20 3 -1
20 7 2
20 8 18
20 14 1
20 15 -7
20 17 -8
20 18 12
21 1 17
21 2 -4
21 4 -9
21 6 18
21 8 -9
21 9 -2
21 11 -2
21 13 -9
21 15 -3
21 18 -3
21 20 11
22 1 16
22 2 -8
22 3 9
22 5 -6
22 6 12
22 8 15
22 9 -6
22 10 3
22 13 14
22 15 13
22 16 19
22 17 -2
22 20 7
23 2 20
23 8 4
23 9 -1
23 11 -6
23 15 16
23 16 10
23 19 -6
23 22 7
24 1 -10
24 4 2
24 6 -2
24 7 19
24 10 -1
24 11 -8
24 15 -10
24 16 9
24 19 2
24 22 -4
25 3 -6
25 5 -2
25 6 7
25 7 2
25 11 2
25 14 4
25 16 18
25 21 15
25 23 -7
25 24 2
26 1 3
26 4 -10
26 5 8
26 6 17
26 9 7
26 12 3
26 13 -2
26 15 16
26 18 -2
26 19 -10
26 20 -7
26 23 -8
26 25 -1
27 2 12
27 3 7
27 5 18
27 6 18
27 8 7
27 9 -9
27 15 -10
27 17 20
27 19 4
27 22 14
27 25 14
28 1 -4
28 2 2
28 3 -2
28 6 20
28 8 20
28 9 6
28 11 -4
28 12 10
28 15 1
28 16 -4
28 17 1
28 18 -3
28 21 8
28 22 15
28 24 11
28 25 2
28 26 17
28 27 -9
29 1 13
29 2 -5
29 3 10
29 5 10
29 7 20
29 9 15
29 12 5
29 13 11
29 15 7
29 16 -5
29 18 13
29 19 -5
29 20 18
29 22 -4
29 27 14
29 28 10
30 1 2
30 2 -7
30 4 16
30 5 1
30 7 -9
30 8 -8
30 9 -2
30 12 -5
30 14 -1
30 16 11
30 18 15
30 22 -2
30 24 19
30 28 12
31 7 17
31 8 20
31 10 18
31 11 8
31 13 4
31 15 14
31 16 5
31 17 8
31 18 -7
31 19 11
31 23 -9
31 24 16
31 25 -5
31 26 -2
31 28 20
32 3 7
32 4 5
32 9 11
32 10 -7
32 11 -6
32 12 6
32 15 19
32 16 12
32 17 -3
32 19 13
32 21 -4
32 22 -3
32 23 18
32 27 16
32 28 -4
32 29 9
32 31 16
33 1 2
33 2 -9
33 4 -8
33 5 18
33 6 -6
33 7 9
33 14 15
33 15 13
33 18 20
33 20 -2
33 22 -9
33 23 -1
33 24 -7
33 32 12
34 3 -3
34 6 6
34 7 9
34 9 -10
34 14 5
34 15 10
34 16 -9
34 18 16
34 19 5
34 20 16
34 26 1
34 27 11
34 28 -4
34 29 10
34 32 5
34 33 20
35 2 17
35 8 -3
35 9 -2
35 10 16
35 11 -1
35 16 -4
35 20 18
35 21 -7
35 24 20
35 26 9
35 27 -1
35 29 3
35 32 6
35 34 2
36 2 -1
36 3 -4
36 5 1
36 8 6
36 10 13
36 11 4
36 12 -9
36 16 11
36 19 11
36 23 -9
36 27 12
36 28 -10
36 29 10
36 30 20
36 32 16
36 34 8
37 4 1
37 5 13
37 6 -8
37 8 2
37 9 -10
37 10 11
37 12 3
37 13 2
37 15 10
37 17 -8
37 18 -6
37 19 -2
37 21 20
37 23 -7
37 27 1
37 28 12
37 32 10
37 33 4
38 1 6
38 6 10
38 7 4
38 8 -7
38 10 -10
38 13 11
38 15 2
38 18 2
38 19 -7
38 23 -9
38 24 11
38 25 4
38 28 17
38 29 -3
38 30 20
38 32 7
38 33 8
38 34 -7
38 35 15
38 37 18
39 1 -1
39 4 6
39 5 12
39 6 14
39 10 11
39 11 2
39 12 -2
39 17 18
39 18 -8
39 21 7
39 23 10
39 26 -1
39 27 19
39 28 20
39 29 14
39 32 6
39 33 11
39 34 -3
39 35 2
39 38 9
40 1 -5
40 3 19
40 4 6
40 5 15
40 6 19
40 7 19
40 8 14
40 10 -9
40 11 9
40 12 17
40 13 8
40 16 -7
40 18 -7
40 20 14
40 21 5
40 23 13
40 25 2
40 29 -10
40 30 19
40 31 3
40 32 18
40 33 19
40 35 15
40 36 11
40 37 20
40 39 -3
41 4 2
41 5 15
41 7 -5
41 9 18
41 10 3
41 13 4
41 14 -1
41 16 8
41 19 12
41 21 11
41 22 -8
41 25 2
41 26 15
41 30 7
41 31 -4
41 32 3
41 33 19
41 34 8
41 36 3
41 37 -4
41 38 2
41 39 -2
41 40 -3
42 5 19
42 6 -2
42 7 5
42 8 4
42 17 2
42 18 -7
42 19 -3
42 21 13
42 23 -1
42 24 -1
42 26 7
42 27 -8
42 29 2
42 30 -4
42 31 10
42 33 7
42 35 -2
42 36 -2
42 40 2
43 1 12
43 3 7
43 4 18
43 6 20
43 9 14
43 10 9
43 13 1
43 14 -8
43 15 -5
43 18 10
43 19 2
43 20 7
43 21 -6
43 22 9
43 23 2
43 26 16
43 27 1
43 29 8
43 30 8
43 31 -5
43 32 2
43 33 5
43 34 9
43 42 16
44 1 3
44 4 -5
44 6 4
44 11 19
44 12 -9
44 14 1
44 15 13
44 16 16
44 19 -2
44 22 3
44 23 3
44 24 17
44 26 -9
44 29 1
44 30 12
44 31 20
44 32 -2
44 36 6
44 37 2
44 38 -7
44 39 15
44 40 14
44 41 7
44 42 -7
44 43 4
45 2 -8
45 4 19
45 6 -4
45 7 17
45 10 15
45 13 -5
45 14 7
45 16 15
45 18 -5
45 24 -1
45 26 -6
45 31 -2
45 32 1
45 33 5
45 34 -10
45 37 -3
45 39 15
45 40 7
45 41 4
45 42 15
46 2 -6
46 3 8
46 4 15
46 7 -5
46 8 5
46 9 8
46 10 6
46 13 -6
46 15 -1
46 17 -9
46 19 -3
46 21 3
46 23 1
46 25 -3
46 26 -3
46 28 14
46 29 -4
46 32 -5
46 33 -5
46 34 9
46 39 17
46 40 -2
46 42 -3
46 44 6
47 2 -1
47 3 -5
47 4 19
47 5 4
47 6 10
47 7 20
47 10 12
47 12 -9
47 16 -2
47 19 4
47 22 6
47 25 -4
47 26 -10
47 28 9
47 29 -8
47 30 17
47 31 -4
47 33 15
47 35 19
47 38 3
47 39 11
47 41 -9
47 42 14
47 44 4
47 45 13
48 1 12
48 2 20
48 4 10
48 6 17
48 7 -5
48 8 18
48 10 -4
48 13 4
48 16 11
48 17 9
48 21 -3
48 23 -7
48 24 -1
48 26 7
48 27 -5
48 31 8
48 33 -9
48 34 15
48 36 -9
48 40 9
48 41 6
48 42 19
48 43 -1
48 46 20
48 47 -6
49 1 3
49 2 -4
49 3 3
49 5 17
49 7 -6
49 8 3
49 10 3
49 12 -4
49 13 2
49 14 -1
49 15 18
49 16 17
49 20 -5
49 22 -6
49 23 -9
49 24 13
49 26 8
49 28 1
49 31 -10
49 32 15
49 35 -8
49 36 12
49 37 4
49 38 -9
49 39 12
49 40 14
49 41 8
49 42 3
49 45 12
49 46 -1
49 47 13
49 48 20
50 1 5
50 3 8
50 4 3
50 5 5
50 6 9
50 10 11
50 11 3
50 14 4
50 15 8
50 17 -10
50 18 -6
50 20 6
50 21 -6
50 22 6
50 23 20
50 24 2
50 25 13
50 26 10
50 28 11
50 29 -5
50 31 2
50 32 12
50 34 -1
50 35 -9
50 38 11
50 39 14
50 40 16
50 41 -4
50 42 9
50 43 -8
50 47 20
51 1 5
51 3 -1
51 4 20
51 6 4
51 10 -5
51 11 -3
51 12 4
51 16 7
51 22 6
51 23 4
51 25 3
51 26 -10
51 27 -4
51 28 10
51 29 18
51 30 14
51 31 1
51 35 -1
51 36 -2
51 38 -1
51 39 13
51 40 17
51 41 6
51 43 3
51 44 9
51 45 17
51 47 18
51 50 5
52 3 14
52 4 -7
52 6 3
52 8 19
52 10 1
