238 4791
1 7 -5
1 154 -4
1 157 20
1 238 3
1 221 4
1 35 -8
1 89 -9
1 120 8
1 191 -10
1 170 16
1 138 -10
2 102 -9
2 57 2
2 48 7
2 116 12
2 124 9
2 114 17
2 13 1
2 112 20
2 237 -7
2 82 -8
2 147 -3
2 70 12
2 219 17
2 29 2
2 165 -7
2 169 8
2 148 18
2 55 19
2 144 -2
3 199 -4
3 59 -7
3 62 -6
3 64 18
3 31 10
3 183 -7
3 135 -7
3 23 -6
3 134 -1
3 161 6
3 13 -5
3 28 12
3 48 -3
3 157 5
4 107 -8
4 10 16
4 222 -8
4 236 -4
4 184 2
4 198 16
4 230 5
4 65 18
4 178 10
4 199 3
4 81 -10
4 66 4
4 152 9
4 185 18
4 122 16
4 62 -3
4 214 8
4 144 1
4 76 10
4 67 -9
5 6 14
5 41 8
5 93 7
5 160 6
5 132 13
5 220 12
5 36 7
5 29 13
5 224 -7
6 149 6
6 205 5
6 96 -3
6 207 11
6 188 -1
6 148 3
6 190 15
6 96 8
6 162 -9
6 156 -9
6 65 9
6 21 4
6 180 12
6 234 11
6 109 -6
7 74 3
7 183 -4
7 69 -6
7 87 8
7 10 5
7 6 2
7 236 1
7 5 -6
7 23 2
7 183 -3
7 10 -3
7 24 -3
7 167 -4
7 222 6
7 12 20
7 128 18
7 199 13
7 219 14
7 154 15
7 219 19
7 109 1
7 190 15
7 98 -8
7 19 17
8 19 16
8 81 13
8 194 -6
8 104 19
8 228 19
8 172 17
8 147 -6
8 29 15
8 64 1
8 69 2
8 222 4
8 226 9
8 182 19
8 55 14
8 210 16
8 64 -8
8 65 11
8 192 19
8 22 -3
8 42 7
8 214 -5
8 51 -2
9 143 -8
9 6 16
9 47 13
9 128 -4
9 102 -8
9 186 17
9 59 -6
9 234 -4
9 18 10
10 205 -7
10 23 3
10 43 9
10 209 -1
10 155 20
10 184 -1
10 34 12
10 33 -2
10 150 8
10 184 5
10 159 13
10 214 2
10 66 8
10 69 -5
10 143 19
10 211 -10
10 53 16
10 79 -7
10 47 4
10 95 7
10 74 11
10 109 18
10 191 9
10 58 -4
10 120 4
10 75 19
10 188 4
10 14 -8
10 174 -1
10 77 20
11 101 19
11 27 17
11 207 4
11 145 7
11 195 -7
11 55 10
11 57 -8
11 5 10
11 4 2
11 116 12
11 112 -10
11 137 -8
11 191 -9
11 71 1
11 18 3
11 173 12
11 36 18
11 87 11
11 218 -1
11 152 14
11 170 -4
11 26 14
11 98 -3
11 126 -1
11 174 2
11 103 10
11 143 -9
11 223 6
11 71 20
11 164 9
11 102 2
12 152 6
12 167 19
12 10 10
12 99 5
12 172 -5
12 52 11
12 63 9
12 158 10
12 163 14
12 160 -1
12 232 8
12 16 6
12 2 -7
12 158 1
12 79 19
12 178 -3
12 224 -5
12 90 6
13 141 13
13 117 13
13 183 4
13 156 5
13 174 9
13 157 -6
13 134 1
13 215 1
13 43 -3
13 153 1
13 198 6
13 107 -5
13 193 8
13 110 4
13 15 -3
13 179 16
13 129 11
13 19 19
13 35 1
13 101 -2
13 93 8
13 148 18
13 165 -7
13 45 20
13 98 8
13 144 -4
14 189 2
14 60 -5
14 64 2
14 76 -5
14 51 19
14 186 13
14 174 -8
14 132 6
14 96 5
14 228 13
14 31 -6
14 136 -7
15 108 14
15 183 4
15 236 16
15 104 -5
15 202 -1
15 165 11
15 75 -1
15 122 -8
15 179 15
15 26 13
15 209 -2
15 210 -8
15 89 8
15 11 6
15 103 5
15 137 -6
15 221 9
15 118 3
15 43 6
15 147 20
15 80 16
15 221 17
15 95 -9
16 201 -2
16 118 -8
16 122 1
16 109 -4
16 233 16
16 221 18
16 132 18
16 145 12
16 25 -9
16 220 -7
16 169 5
16 77 7
16 8 6
16 125 10
16 214 -7
16 37 -7
16 164 4
16 88 7
16 154 9
16 102 -5
16 67 7
16 114 20
16 21 2
17 57 20
17 94 19
17 28 -6
17 182 -3
17 76 16
17 173 6
17 69 -3
17 222 7
17 153 9
17 210 3
17 34 -7
17 181 10
17 103 -3
17 183 -10
17 57 -9
17 232 19
18 70 -1
18 183 -2
18 113 -6
18 67 13
18 133 18
18 35 12
18 176 10
18 69 8
18 23 -4
18 70 17
18 122 17
18 155 13
18 126 -2
18 192 4
19 203 4
19 65 2
19 210 -1
19 52 6
19 12 12
19 60 5
19 44 18
19 235 13
19 62 -10
19 234 13
19 32 -8
19 237 -4
20 45 8
20 207 8
20 58 8
20 103 19
20 110 12
20 130 20
20 137 1
20 110 -1
20 96 6
20 133 -6
20 223 -1
20 130 -6
20 94 1
20 9 17
20 9 14
20 143 9
20 235 19
20 39 5
20 110 8
20 37 7
20 131 -7
20 187 3
21 200 11
21 34 7
21 115 -10
21 226 13
21 1 5
21 7 16
21 89 12
21 88 8
21 170 16
21 238 -1
21 64 -8
21 148 -6
21 127 1
21 62 20
21 6 13
21 3 -1
21 87 -5
21 40 -3
21 116 -2
21 163 11
21 81 3
21 110 -10
21 139 14
21 234 -3
21 114 15
21 14 15
21 191 -10
21 125 -1
22 36 9
22 66 -3
22 204 -6
22 192 9
22 223 3
22 222 8
22 232 7
22 117 7
22 135 1
22 212 3
22 77 1
22 75 4
22 51 13
22 108 19
23 90 -6
23 231 16
23 168 -2
23 229 13
23 195 13
23 9 14
23 228 10
23 204 5
23 234 -4
23 201 2
23 194 -9
23 105 -7
23 12 10
23 228 -3
23 64 3
24 3 -2
24 167 -6
24 82 8
24 78 2
24 227 14
24 16 8
24 6 18
24 77 17
24 79 10
24 14 18
24 118 19
24 31 -9
24 114 -1
24 123 3
24 108 14
24 123 16
25 16 -10
25 163 -1
25 152 14
25 46 -9
25 19 -10
25 15 6
25 33 -6
25 46 3
25 177 19
25 30 17
25 140 14
25 172 -5
25 82 16
25 34 5
25 172 9
25 3 -3
25 53 4
25 178 3
25 31 -8
25 15 -4
25 199 1
25 57 15
25 33 -1
25 192 12
25 34 13
26 7 -7
26 92 5
26 41 1
26 124 -1
26 11 -5
26 35 -2
26 72 9
26 204 8
26 220 18
26 180 11
26 137 16
26 189 -9
27 84 6
27 58 10
27 216 9
27 151 18
27 193 11
27 104 -4
27 87 -3
27 112 19
27 138 4
27 63 5
27 170 7
27 189 3
27 52 -5
27 45 -9
27 228 5
27 67 10
27 101 9
27 210 19
27 111 -7
27 73 -2
27 115 -3
27 39 12
27 32 6
28 171 -8
28 1 17
28 196 6
28 30 19
28 229 -2
