120 5463
2 3 -3
3 1 17
3 2 5
4 3 15
5 2 16
6 1 20
7 3 -8
7 5 5
7 6 20
8 2 -3
8 4 1
8 6 -2
9 1 3
9 4 -1
9 5 15
10 1 9
10 2 6
10 3 20
11 3 5
11 5 -6
11 6 13
11 8 19
11 9 5
11 10 17
12 2 7
12 4 1
12 6 -1
12 7 -6
12 9 10
12 10 14
13 1 -5
13 4 12
13 5 3
13 7 9
13 8 -9
13 10 4
14 1 6
14 2 20
14 3 1
14 7 -4
14 8 7
14 9 12
15 1 8
15 2 -5
15 3 4
15 4 -3
15 5 7
15 6 -7
16 3 4
16 5 3
16 6 -4
16 8 -2
16 9 13
16 10 2
16 12 -6
16 13 6
16 14 17
16 15 3
17 2 -4
17 4 5
17 6 8
17 7 2
17 9 -7
17 10 14
17 11 10
17 13 -2
17 14 -1
17 15 5
18 1 -7
18 4 13
18 5 19
18 7 -3
18 8 7
18 10 16
18 11 -5
18 12 12
18 14 -5
18 15 13
19 1 -3
19 2 10
19 3 16
19 7 -1
19 8 -9
19 9 4
19 11 -4
19 12 -8
19 13 -10
19 15 -1
20 1 3
20 2 4
20 3 8
20 4 -2
20 5 4
20 6 15
20 11 4
20 12 14
20 13 1
20 14 -5
21 1 2
21 2 -5
21 3 18
21 4 8
21 5 6
21 6 -3
21 7 -2
21 8 1
21 9 20
21 10 19
22 3 -6
22 5 4
22 6 -4
22 8 4
22 9 -4
22 10 15
22 12 16
22 13 14
22 14 18
22 15 8
22 17 -10
22 18 7
22 19 2
22 20 19
22 21 20
23 2 -4
23 4 -10
23 6 -9
23 7 1
23 9 -3
23 10 18
23 11 9
23 13 -8
23 14 14
23 15 -6
23 16 -5
23 18 7
23 19 4
23 20 -5
23 21 14
24 1 14
24 4 -2
24 5 3
24 7 1
24 8 5
24 10 10
24 11 1
24 12 13
24 14 18
24 15 6
24 16 -8
24 17 18
24 19 -6
24 20 14
24 21 -6
25 1 15
25 2 -6
25 3 16
25 7 4
25 8 18
25 9 17
25 11 -1
25 12 9
25 13 -6
25 15 3
25 16 -3
25 17 16
25 18 9
25 20 6
25 21 12
26 1 -4
26 2 19
26 3 5
26 4 -9
26 5 18
26 6 10
26 11 -5
26 12 -10
26 13 5
26 14 -2
26 16 -7
26 17 -8
26 18 -7
26 19 -4
26 21 -3
27 1 16
27 2 4
27 3 14
27 4 -3
27 5 12
27 6 9
27 7 12
27 8 10
27 9 20
27 10 -9
27 16 -3
27 17 6
27 18 -7
27 19 12
27 20 15
28 1 2
28 2 12
28 3 9
28 4 6
28 5 8
28 6 6
28 7 10
28 8 6
28 9 20
28 10 11
28 11 7
28 12 -1
28 13 -4
28 14 11
28 15 -10
29 3 13
29 5 11
29 6 4
29 8 8
29 9 -7
29 10 6
29 12 7
29 13 -8
29 14 8
29 15 -9
29 17 11
29 18 -1
29 19 -7
29 20 1
29 21 6
29 23 -6
29 24 -3
29 25 -5
29 26 13
29 27 -10
29 28 -2
30 2 8
30 4 1
30 6 6
30 7 5
30 9 16
30 10 -6
30 11 15
30 13 18
30 14 5
30 15 -1
30 16 1
30 18 13
30 19 6
30 20 9
30 21 15
30 22 12
30 24 14
30 25 -4
30 26 5
30 27 17
30 28 6
31 1 5
31 4 -9
31 5 20
31 7 4
31 8 7
31 10 7
31 11 -5
31 12 14
31 14 4
31 15 11
31 16 18
31 17 2
31 19 2
31 20 -7
31 21 4
31 22 4
31 23 2
31 25 15
31 26 17
31 27 15
31 28 -4
32 1 10
32 2 20
32 3 -3
32 7 -7
32 8 -8
32 9 -9
32 11 20
32 12 -10
32 13 1
32 15 -10
32 16 -7
32 17 -8
32 18 3
32 20 20
32 21 6
32 22 -10
32 23 -6
32 24 6
32 26 -10
32 27 4
32 28 3
33 1 2
33 2 17
33 3 5
33 4 3
33 5 15
33 6 14
33 11 11
33 12 14
33 13 -6
33 14 18
33 16 10
33 17 18
33 18 13
33 19 8
33 21 16
33 22 1
33 23 10
33 24 -5
33 25 11
33 27 -6
33 28 2
34 1 -5
34 2 2
34 3 17
34 4 10
34 5 -10
34 6 -5
34 7 -9
34 8 -8
34 9 10
34 10 -5
34 16 7
34 17 -2
34 18 5
34 19 2
34 20 20
34 22 17
34 23 -3
34 24 18
34 25 2
34 26 18
34 28 6
35 1 16
35 2 4
35 3 17
35 4 6
35 5 18
35 6 -3
35 7 2
35 8 -1
35 9 6
35 10 -6
35 11 9
35 12 -2
35 13 -2
35 14 -7
35 15 17
35 22 14
35 23 8
35 24 -2
35 25 13
35 26 -2
35 27 8
36 1 -7
36 2 19
36 3 12
36 4 -1
36 5 11
36 6 10
36 7 13
36 8 11
36 9 9
36 10 19
36 11 -3
36 12 2
36 13 6
36 14 17
36 15 20
36 16 -4
36 17 13
36 18 -10
36 19 3
36 20 -1
36 21 5
37 3 -7
37 5 1
37 6 3
37 8 13
37 9 -5
37 10 13
37 12 9
37 13 2
37 14 19
37 15 15
37 17 19
37 18 8
37 19 18
37 20 -4
37 21 4
37 23 -2
37 24 6
37 25 -4
37 26 -5
37 27 20
37 28 11
37 30 19
37 31 13
37 32 -7
37 33 10
37 34 -3
37 35 -1
37 36 -3
38 2 3
38 4 16
38 6 -4
38 7 10
38 9 9
38 10 -5
38 11 15
38 13 4
38 14 17
38 15 6
38 16 -10
38 18 19
38 19 20
38 20 16
38 21 2
38 22 -5
38 24 -6
38 25 16
38 26 -1
38 27 -10
38 28 -4
38 29 11
38 31 9
38 32 -9
38 33 -10
38 34 16
38 35 -8
38 36 19
39 1 -4
39 4 2
39 5 4
39 7 -8
39 8 16
39 10 2
39 11 7
39 12 -6
39 14 15
39 15 -1
39 16 2
39 17 -8
39 19 20
39 20 15
39 21 5
39 22 15
39 23 10
39 25 -10
39 26 20
39 27 19
39 28 1
39 29 6
39 30 18
39 32 4
39 33 3
39 34 17
39 35 3
39 36 -5
40 1 17
40 2 12
40 3 15
40 7 -1
40 8 10
40 9 3
40 11 -1
40 12 2
40 13 20
40 15 16
40 16 -9
40 17 9
40 18 -1
40 20 18
40 21 -4
40 22 17
40 23 20
40 24 12
40 26 -4
40 27 18
40 28 -6
40 29 4
40 30 19
40 31 -4
40 33 17
40 34 14
40 35 -3
40 36 4
41 1 12
41 2 19
41 3 -9
41 4 -7
41 5 -10
41 6 19
41 11 17
41 12 18
41 13 17
41 14 15
41 16 -10
41 17 -9
41 18 4
41 19 -8
41 21 -1
41 22 16
41 23 9
41 24 19
41 25 20
41 27 13
41 28 6
41 29 9
41 30 -1
41 31 20
41 32 -6
41 34 16
41 35 2
41 36 14
42 1 -5
42 2 -7
42 3 -2
42 4 13
42 5 10
42 6 -9
42 7 17
42 8 -3
42 9 17
42 10 20
42 16 13
42 17 -6
42 18 15
42 19 20
42 20 -5
42 22 19
42 23 -5
42 24 2
42 25 1
42 26 -7
42 28 20
42 29 -4
42 30 -9
42 31 17
42 32 10
42 33 16
42 35 1
42 36 -10
43 1 1
43 2 -2
43 3 -8
43 4 5
43 5 -2
43 6 -6
43 7 19
43 8 3
43 9 -3
43 10 13
43 11 4
43 12 7
43 13 19
43 14 9
43 15 12
43 22 -7
43 23 1
43 24 3
43 25 -4
43 26 8
43 27 1
43 29 2
43 30 16
43 31 -10
43 32 -6
43 33 6
43 34 -7
43 36 4
44 1 8
44 2 8
44 3 20
44 4 8
44 5 14
44 6 -10
44 7 7
44 8 13
44 9 -1
44 10 4
44 11 -7
44 12 1
44 13 -10
44 14 12
44 15 -6
44 16 -10
44 17 -3
44 18 12
44 19 1
44 20 15
44 21 4
44 29 17
44 30 -8
44 31 16
44 32 4
44 33 11
44 34 9
44 35 3
45 1 -4
45 2 6
45 3 5
45 4 16
45 5 -1
45 6 -8
45 7 5
45 8 4
45 9 15
45 10 -4
45 11 -9
45 12 3
45 13 -2
45 14 -8
45 15 2
45 16 -7
45 17 -8
45 18 4
45 19 2
45 20 2
45 21 20
45 22 10
45 23 7
45 24 -2
45 25 15
45 26 -6
45 27 -1
45 28 4
46 3 -10
46 5 9
46 6 -7
46 8 -6
46 9 12
46 10 -1
46 12 17
46 13 18
46 14 -5
46 15 8
46 17 -3
46 18 15
46 19 -7
46 20 18
46 21 -2
46 23 -3
46 24 3
46 25 10
46 26 12
46 27 20
46 28 -3
46 30 6
46 31 14
46 32 -10
46 33 -8
46 34 4
46 35 1
46 36 9
46 38 4
46 39 20
46 40 -1
46 41 6
46 42 -3
46 43 3
46 44 17
46 45 4
47 2 -5
47 4 -6
47 6 -7
47 7 -10
47 9 18
47 10 15
47 11 12
47 13 4
47 14 17
47 15 14
47 16 -7
47 18 -8
47 19 -7
47 20 5
47 21 -4
47 22 9
47 24 13
47 25 17
47 26 5
47 27 12
47 28 1
47 29 3
47 31 13
47 32 13
47 33 -9
47 34 14
47 35 7
47 36 15
47 37 7
47 39 11
47 40 15
47 41 -9
47 42 -10
47 43 15
47 44 3
47 45 1
48 1 5
48 4 -6
48 5 -1
48 7 2
48 8 13
48 10 17
48 11 2
48 12 -4
48 14 14
48 15 6
48 16 14
48 17 -8
48 19 3
48 20 -5
48 21 8
48 22 16
48 23 11
48 25 -5
48 26 12
48 27 3
48 28 -1
48 29 5
48 30 -4
48 32 1
48 33 6
48 34 3
48 35 -7
48 36 10
48 37 -2
48 38 -1
48 40 10
48 41 -7
48 42 5
48 43 10
48 44 9
48 45 -10
49 1 18
49 2 4
49 3 -10
49 7 -6
49 8 16
49 9 11
49 11 -10
49 12 13
49 13 4
49 15 -2
49 16 5
49 17 -7
49 18 9
49 20 -7
49 21 17
49 22 1
49 23 7
49 24 11
49 26 12
49 27 12
49 28 4
49 29 15
49 30 4
49 31 3
49 33 -7
49 34 -4
49 35 16
49 36 4
49 37 7
49 38 7
49 39 20
49 41 5
49 42 16
49 43 18
49 44 6
49 45 -6
50 1 11
50 2 19
50 3 -5
50 4 4
50 5 -7
50 6 20
50 11 -8
50 12 1
50 13 -2
50 14 3
50 16 19
50 17 1
50 18 14
50 19 3
50 21 8
50 22 12
50 23 13
50 24 3
50 25 1
50 27 -7
50 28 -3
50 29 19
50 30 12
50 31 5
50 32 -5
50 34 8
50 35 13
50 36 3
50 37 15
50 38 -2
50 39 6
50 40 19
50 42 19
50 43 3
50 44 2
50 45 -1
51 1 20
51 2 -3
51 3 17
51 4 4
51 5 10
51 6 10
51 7 11
51 8 11
51 9 3
51 10 3
51 16 4
51 17 2
51 18 -1
51 19 -7
51 20 -2
51 22 13
51 23 16
51 24 -4
51 25 -9
51 26 3
51 28 2
51 29 -10
51 30 -10
51 31 3
51 32 12
51 33 17
51 35 5
51 36 3
51 37 -8
51 38 5
51 39 4
51 40 -1
51 41 13
51 43 8
51 44 15
51 45 12
52 1 6
52 2 19
52 3 16
52 4 -8
52 5 17
52 6 -2
52 7 17
52 8 -5
52 9 -1
52 10 -3
52 11 -8
52 12 -2
52 13 20
52 14 10
52 15 12
52 22 -2
52 23 -1
52 24 -9
52 25 16
52 26 10
52 27 -4
52 29 19
52 30 -5
52 31 7
52 32 11
52 33 -6
52 34 15
52 36 1
52 37 -6
52 38 6
52 39 1
52 40 8
52 41 -4
52 42 -6
52 44 -9
52 45 1
53 1 14
53 2 -8
