140 5494
1 65 -7
1 115 5
1 133 -5
1 84 5
1 122 6
1 40 14
1 61 5
1 25 6
1 66 2
1 11 20
1 72 4
1 55 19
1 136 -4
1 93 -4
1 87 18
1 139 7
1 138 -10
1 113 7
1 109 -7
1 16 7
1 87 1
1 80 7
1 79 11
1 129 11
1 8 -1
1 12 6
2 118 8
2 12 10
2 92 -4
2 13 -2
2 69 4
2 28 -9
2 10 9
2 62 16
2 65 -7
2 32 12
2 69 16
2 108 -3
2 66 -1
2 133 -10
2 23 4
2 92 -1
2 27 -4
2 43 1
2 75 -4
2 60 2
2 37 15
2 47 11
2 68 -2
2 137 7
2 5 18
2 47 15
2 26 7
2 125 12
2 93 20
3 86 4
3 95 4
3 92 19
3 1 -9
3 42 -8
3 86 -7
3 69 -2
3 45 3
3 95 9
3 126 -3
3 88 12
3 46 -1
3 84 5
3 93 -4
3 129 -4
3 105 18
3 88 1
3 17 13
3 38 6
3 72 -4
3 31 4
3 19 8
3 28 -5
3 77 19
3 75 7
3 28 11
3 40 -9
3 125 8
3 136 -5
3 98 -4
3 103 -3
3 101 20
3 77 17
3 88 5
3 128 -1
3 109 7
3 52 1
3 131 4
3 33 -2
3 123 3
4 101 19
4 96 16
4 108 -8
4 117 4
4 24 -9
4 7 10
4 103 -8
4 138 18
4 87 -1
4 34 2
4 77 -5
4 1 3
4 97 -8
4 17 -3
4 135 8
4 95 3
4 52 5
4 82 11
4 42 10
4 64 16
4 122 12
4 66 2
4 63 1
4 101 20
4 49 -1
4 84 -1
4 105 7
4 87 4
4 116 1
4 95 18
4 93 -2
4 42 5
4 79 -9
4 111 14
4 23 11
4 64 1
4 96 15
5 17 -4
5 20 4
5 34 1
5 10 18
5 50 19
5 75 3
5 66 -2
5 107 19
5 70 15
5 38 1
5 134 18
5 35 -6
5 45 -9
5 112 -6
5 14 -10
5 33 -3
5 65 -5
5 80 9
5 70 -10
5 12 -2
5 12 20
5 105 17
5 87 7
5 36 1
5 55 -2
5 11 19
5 118 -9
5 107 2
5 89 9
5 66 3
5 77 19
5 83 6
5 76 16
5 95 5
5 42 6
5 100 20
5 27 4
5 52 3
5 60 -6
5 68 19
5 92 20
5 67 10
5 35 17
5 64 5
5 20 19
5 48 -9
5 74 15
5 8 9
5 97 7
5 130 17
5 53 -3
6 59 -6
6 45 -2
6 129 -4
6 61 10
6 91 -8
6 32 4
6 2 20
6 121 -5
6 125 -10
6 128 -2
6 37 -6
6 61 12
6 121 19
6 33 7
6 62 15
6 70 -10
6 22 2
6 101 1
6 96 13
6 118 -6
6 108 -4
6 22 11
6 123 -10
6 89 2
6 53 4
6 39 10
6 59 3
6 34 -9
6 17 9
6 118 7
6 13 15
6 33 -2
6 114 12
7 36 -7
7 128 -10
7 115 6
7 57 -10
7 73 8
7 23 6
7 3 -3
7 133 15
7 36 17
7 3 -8
7 56 7
7 8 11
7 118 2
7 71 19
7 3 5
7 29 -7
7 6 1
7 30 -7
7 30 7
7 13 15
7 27 -4
7 77 14
7 3 9
7 132 3
7 40 1
7 44 17
7 106 -7
7 25 11
7 86 8
7 127 1
7 138 -2
7 109 2
7 91 -7
7 81 4
7 110 16
7 106 6
7 115 -8
7 50 1
7 55 -10
7 63 -4
7 111 14
7 82 4
7 97 19
7 103 9
7 45 20
8 99 -5
8 131 15
8 51 15
8 139 7
8 13 4
8 116 18
8 135 8
8 126 12
8 121 19
8 50 1
8 89 4
8 52 11
8 84 16
8 139 -7
8 10 7
8 124 -3
8 38 3
8 31 -8
8 88 5
8 27 -3
8 4 -1
8 54 3
8 96 20
8 55 -1
8 78 19
8 79 -3
8 101 7
8 71 5
8 134 18
8 55 -3
8 78 15
8 58 -3
8 119 20
8 7 3
8 124 13
8 34 7
8 65 1
8 12 -8
8 130 -1
8 9 13
8 140 18
8 70 12
8 10 16
8 112 1
8 86 -6
9 134 8
9 102 -2
9 8 6
9 88 3
9 41 18
9 130 -5
9 23 15
9 88 16
9 126 -10
9 111 11
9 103 1
9 12 5
9 33 12
9 2 -1
9 16 4
9 130 14
9 128 -10
9 116 14
9 63 16
9 30 20
9 104 19
9 43 15
9 24 6
9 114 13
9 83 4
9 130 3
9 100 -1
9 117 9
9 80 16
9 99 -1
9 134 20
9 40 19
9 98 3
9 67 -9
9 112 -1
9 70 -9
9 50 2
9 48 4
9 60 -8
9 123 -3
9 100 15
9 58 -4
9 80 14
10 117 2
10 131 19
10 118 -10
10 123 11
10 101 4
10 43 -4
10 25 19
10 137 -1
10 57 9
10 34 -4
10 4 19
10 81 -5
10 83 -1
10 34 1
10 59 -9
10 2 -4
10 41 14
10 123 17
10 20 -3
10 90 15
10 98 3
10 21 -6
10 19 -9
10 125 -9
10 36 10
10 3 10
10 24 13
10 35 4
10 41 -4
10 71 19
10 76 6
10 36 2
10 71 5
10 32 6
10 104 1
10 75 12
10 97 2
11 125 17
11 46 19
11 57 14
11 51 14
11 52 11
11 61 -3
11 31 -9
11 57 18
11 78 19
11 116 -3
11 28 -1
11 2 14
11 56 14
11 118 -4
11 31 10
11 37 19
11 84 17
11 100 7
11 24 5
11 92 7
11 30 2
11 27 5
11 23 5
11 58 -4
11 53 -8
11 127 18
11 7 -9
11 97 7
11 120 5
11 94 17
11 128 -8
11 53 -2
11 93 18
11 133 -10
