125 6962
2 3 19
2 1 -9
3 1 -9
4 2 13
5 1 -9
5 2 5
5 3 7
5 4 -8
6 1 6
6 2 -9
6 3 12
6 4 10
6 5 -10
7 1 12
7 2 -3
7 3 -8
7 4 9
7 5 -7
7 6 -2
8 1 10
8 2 19
8 3 -8
8 4 7
8 5 -5
8 6 17
8 7 17
9 1 9
9 2 -10
9 3 -6
9 4 12
9 5 -6
9 6 14
9 7 -7
9 8 8
10 1 -9
10 2 -6
10 3 8
10 4 12
10 5 2
10 6 -9
10 7 8
10 8 -3
10 9 15
11 1 1
11 2 9
11 3 -1
11 4 4
11 5 -4
11 6 2
11 7 20
11 8 -5
11 9 19
11 10 12
12 2 10
12 3 15
12 4 9
12 5 1
12 6 8
12 7 7
12 10 8
12 11 -7
13 1 9
13 3 16
13 4 4
13 5 -3
13 6 -5
13 7 7
13 8 -2
13 9 2
13 10 4
13 11 15
13 12 10
14 1 19
14 2 16
14 3 9
14 4 -2
14 5 -9
14 8 18
14 9 12
14 10 -9
14 11 -7
14 12 -7
15 1 4
15 3 17
15 4 -2
15 5 -6
15 7 11
15 8 14
15 9 16
15 10 13
15 13 12
15 14 14
16 1 18
16 2 14
16 4 8
16 5 1
16 6 20
16 7 16
16 8 18
16 9 -9
16 10 5
16 11 -10
16 12 4
16 13 10
16 14 14
16 15 -1
17 1 20
17 2 -9
17 3 -2
17 4 13
17 5 -6
17 6 -7
17 7 16
17 8 2
17 9 10
17 10 -8
17 11 -10
17 12 6
17 13 -8
17 14 -5
17 15 16
17 16 16
18 1 3
18 2 -5
18 3 18
18 4 1
18 5 -9
18 6 -10
18 7 2
18 8 10
18 9 4
18 10 -10
18 11 1
18 12 -8
18 13 -3
18 14 14
18 15 1
18 16 -5
18 17 7
19 1 -10
19 2 -2
19 3 10
19 4 3
19 5 -1
19 6 -2
19 7 10
19 8 15
19 9 16
19 10 12
19 11 13
19 12 7
19 13 -9
19 14 5
19 15 9
19 16 13
19 17 12
19 18 4
20 1 -6
20 3 16
20 4 2
20 6 17
20 7 9
20 8 11
20 9 -2
20 11 15
20 12 13
20 13 13
20 14 12
20 15 4
20 16 -2
